uid;name;source;span
"JOB:::CBLDB23R:::CBLDB23R";"CBLDB23R";"/jcl/CBLDB23R.jcl";"0:41"
"JOB:::CBLDB21C:::CBLDB21C";"CBLDB21C";"/jcl/CBLDB21C.jcl";"0:31"
"JOB:::CBLDB23C:::CBLDB23C";"CBLDB23C";"/jcl/CBLDB23C.jcl";"0:31"
"JOB:::DBRMLIB:::DBRMLIB";"DBRMLIB";"/jcl/DBRMLIB.jcl";"0:30"
"JOB:::LOADTBL:::LOADTBL";"LOADTBL";"/jcl/LOADTBL.jcl";"0:30"
"JOB:::CRETBL:::CREATE1";"CREATE1";"/jcl/CRETBL.jcl";"0:32"
"JOB:::CBLDB22C:::CBLDB22C";"CBLDB22C";"/jcl/CBLDB22C.jcl";"0:31"
"JOB:::CBLDB22R:::CBLDB22R";"CBLDB22R";"/jcl/CBLDB22R.jcl";"0:41"
"JOB:::DB2SETUP:::DB2SETUP";"DB2SETUP";"/jcl/DB2SETUP.jcl";"0:33"
"JOB:::CBLDB21R:::CBLDB21R";"CBLDB21R";"/jcl/CBLDB21R.jcl";"0:41"
"JOB:::SELTBL:::SELTBL";"SELTBL";"/jcl/SELTBL.jcl";"0:30"